,course,haccuracy,latitude,longitude,speed,time,nickname
0,257.4,62.197,41.42171408,2.15115664,1.66,2018-11-07 06:56:06,VIR-4011_peu
1,242.9,60.68,41.42164424,2.15117292,1.37,2018-11-07 06:56:07,VIR-4011_peu
2,290.8,62.197,41.42173354,2.15138982,0.88,2018-11-07 06:56:08,VIR-4011_peu
3,0.0,28.823,41.42167363,2.15181593,0.0,2018-11-07 06:56:10,VIR-4011_peu
4,0.0,25.789,41.42163636,2.15180992,0.0,2018-11-07 06:56:11,VIR-4011_peu
5,0.0,24.272,41.42163088,2.15185719,0.0,2018-11-07 06:56:12,VIR-4011_peu
6,192.2,22.755,41.42157041,2.15185963,4.91,2018-11-07 06:56:13,VIR-4011_peu
7,221.7,19.720999,41.42152977,2.15182031,1.54,2018-11-07 06:56:14,VIR-4011_peu
8,206.7,19.720999,41.42147146,2.15181158,1.64,2018-11-07 06:56:15,VIR-4011_peu
9,222.0,18.203999,41.42148225,2.15182004,1.34,2018-11-07 06:56:16,VIR-4011_peu
10,208.2,16.687,41.42143421,2.15181905,2.56,2018-11-07 06:56:17,VIR-4011_peu
11,198.7,18.203999,41.42139601,2.15180948,2.16,2018-11-07 06:56:18,VIR-4011_peu
12,174.5,15.17,41.42128637,2.15187146,3.46,2018-11-07 06:56:19,VIR-4011_peu
13,204.1,15.17,41.42127947,2.15185089,1.8,2018-11-07 06:56:20,VIR-4011_peu
14,181.4,13.653,41.42124123,2.15189171,2.37,2018-11-07 06:56:21,VIR-4011_peu
15,204.3,15.17,41.42124397,2.15185688,1.87,2018-11-07 06:56:22,VIR-4011_peu
16,197.6,15.17,41.42124277,2.15184886,1.04,2018-11-07 06:56:23,VIR-4011_peu
17,167.9,16.687,41.42123638,2.15186025,1.33,2018-11-07 06:56:24,VIR-4011_peu
18,181.3,16.687,41.42122971,2.15186225,1.05,2018-11-07 06:56:25,VIR-4011_peu
19,204.4,13.653,41.42122425,2.15184419,1.86,2018-11-07 06:56:26,VIR-4011_peu
20,193.3,12.136,41.42120695,2.15184543,2.09,2018-11-07 06:56:27,VIR-4011_peu
21,170.6,12.136,41.42118802,2.15185013,1.65,2018-11-07 06:56:29,VIR-4011_peu
22,195.0,13.653,41.42118255,2.15184567,1.08,2018-11-07 06:56:30,VIR-4011_peu
23,217.7,13.653,41.42117618,2.15182816,1.63,2018-11-07 06:56:31,VIR-4011_peu
24,230.0,13.653,41.42117277,2.15180838,1.19,2018-11-07 06:56:32,VIR-4011_peu
