,course,haccuracy,latitude,longitude,speed,time,nickname
0,0.0,11.0,41.41857641,2.18209479,0.0,2018-11-07 06:10:19,VIR_418Z_metro
1,0.0,9.0,41.41858878,2.18208665,0.0,2018-11-07 06:10:20,VIR_418Z_metro
2,263.8,8.0,41.41859406,2.18207014,0.74,2018-11-07 06:10:21,VIR_418Z_metro
3,247.6,7.0,41.41863569,2.182134,0.67,2018-11-07 06:10:22,VIR_418Z_metro
4,238.9,8.0,41.41862017,2.18210248,1.51,2018-11-07 06:10:23,VIR_418Z_metro
5,219.5,8.0,41.41855891,2.18214646,1.14,2018-11-07 06:10:24,VIR_418Z_metro
6,244.3,12.0,41.41856414,2.18214594,0.88,2018-11-07 06:10:25,VIR_418Z_metro
7,278.4,11.0,41.41855914,2.18214316,0.43,2018-11-07 06:10:26,VIR_418Z_metro
8,301.1,11.0,41.41857958,2.18215538,0.43,2018-11-07 06:10:27,VIR_418Z_metro
9,243.0,9.0,41.41858865,2.18216159,0.32,2018-11-07 06:10:28,VIR_418Z_metro
10,276.7,9.0,41.41859574,2.18215242,0.84,2018-11-07 06:10:29,VIR_418Z_metro
11,271.1,8.0,41.41860205,2.18214526,0.9,2018-11-07 06:10:30,VIR_418Z_metro
12,256.6,7.0,41.41860662,2.18213625,1.22,2018-11-07 06:10:31,VIR_418Z_metro
13,280.5,6.0,41.41860751,2.1821168,1.06,2018-11-07 06:10:32,VIR_418Z_metro
14,276.1,6.0,41.41861471,2.1821059,1.42,2018-11-07 06:10:33,VIR_418Z_metro
15,275.6,6.0,41.41862327,2.18209313,1.39,2018-11-07 06:10:34,VIR_418Z_metro
16,303.9,6.0,41.41863976,2.182083,1.32,2018-11-07 06:10:35,VIR_418Z_metro
17,258.6,8.0,41.41865068,2.18207355,0.69,2018-11-07 06:10:36,VIR_418Z_metro
18,223.8,8.0,41.41865055,2.18206681,0.7,2018-11-07 06:10:37,VIR_418Z_metro
19,289.1,10.0,41.41866799,2.18205353,0.88,2018-11-07 06:10:38,VIR_418Z_metro
20,263.2,11.0,41.4186793,2.18203794,1.38,2018-11-07 06:10:39,VIR_418Z_metro
21,299.5,10.0,41.41868848,2.18202677,1.19,2018-11-07 06:10:40,VIR_418Z_metro
22,299.1,11.0,41.41870207,2.18201344,1.14,2018-11-07 06:10:41,VIR_418Z_metro
23,299.2,13.0,41.41870006,2.18199948,1.52,2018-11-07 06:10:42,VIR_418Z_metro
24,299.4,14.0,41.41870895,2.18199028,0.93,2018-11-07 06:10:43,VIR_418Z_metro
